,MRK,NVAX,NVTA,BMRN,CTMX,BPMC,SGEN,ICLR,GILD,VXRT,EVT,ALLO,ALT,EXEL,DTIL,SAN,AGEN,MRNA,BLUE,INO,ZIOP,MTEM,MGNX,GH,EDIT,NSTG,ALNY,IQV,CRL,TXG,AMGN,SWTX,TCRR,IBRX,EXAS,ISEE,ADAP,SGMO,RAPT,REGN,FATE,TECH,QGEN,BIIB,PSNL,BGNE,ARCT,FGEN,LGND,BCRX,GMAB,VRTX,SYRS,ILMN,NTLA,VIR,CRSP,INCY,NTRA,TWST,BNTX,BBH,IDNA
1999-12-07,5461500,20100,,3600,,,,14400,318100,,,,,,,162500,,,,75200,,,,,,,,,,,6460700,,,,,,,,,126400,,106100,88000,1128600,,,,,322800,275500,,145600,,,,,,199900,,,,115400,
1999-12-08,5175000,28400,,4000,,,,51600,329700,,,,,,,97800,,,,54400,,,,,,,,,,,6491400,,,,,,,,,185400,,91800,17500,1136900,,,,,791400,581100,,398200,,,,,,279500,,,,63900,
1999-12-09,4865700,40200,,37600,,,,13600,1008500,,,,,,,77900,,,,9600,,,,,,,,,,,10458800,,,,,,,,,416300,,242500,11400,825700,,,,,549000,298600,,254300,,,,,,449700,,,,87600,
1999-12-10,5287200,27300,,27100,,,,32800,1109600,,,,,,,331000,,,,1600,,,,,,,,,,,7321500,,,,,,,,,221100,,127500,38800,1029600,,,,,978600,137100,,144800,,,,,,470800,,,,78400,
1999-12-13,7737000,21500,,42200,,,,109600,1124200,,,,,,,350100,,,,9600,,,,,,,,,,,8103900,,,,,,,,,80700,,51700,36500,401600,,,,,600,91900,,92200,,,,,,224100,,,,248500,
1999-12-14,7336300,57400,,37000,,,,15200,434700,,,,,,,175100,,,,22400,,,,,,,,,,,8081900,,,,,,,,,109300,,326900,20500,575900,,,,,1638000,354200,,164200,,,,,,280300,,,,213000,
1999-12-15,6678900,37900,,13900,,,,126000,592900,,,,,,,118100,,,,27200,,,,,,,,,,,8709800,,,,,,,,,210700,,163900,75300,546200,,,,,657600,165400,,132700,,,,,,255300,,,,104700,
1999-12-16,4909400,62400,,4300,,,,32400,556100,,,,,,,148500,,,,20800,,,,,,,,,,,9175200,,,,,,,,,127900,,66300,23000,314000,,,,,478200,107800,,236300,,,,,,246100,,,,113300,
1999-12-17,11138400,19100,,14200,,,,13200,362300,,,,,,,189200,,,,6400,,,,,,,,,,,10599200,,,,,,,,,112600,,203600,17800,613500,,,,,351600,89300,,100200,,,,,,338100,,,,500500,
1999-12-20,5166900,35600,,6500,,,,56800,314000,,,,,,,109300,,,,14400,,,,,,,,,,,9173100,,,,,,,,,72000,,150700,30200,477600,,,,,328200,92200,,288600,,,,,,1071600,,,,199900,
1999-12-21,5411600,27600,,17100,,,,23600,1263500,,,,,,,51500,,,,164800,,,,,,,,,,,8224800,,,,,,,,,50300,,47100,31400,768300,,,,,315000,95200,,229500,,,,,,363200,,,,232900,
1999-12-22,4767100,16500,,5800,,,,8000,1094800,,,,,,,101000,,,,59200,,,,,,,,,,,9230500,,,,,,,,,72100,,60700,45600,1911600,,,,,223800,80100,,121000,,,,,,4417300,,,,589600,
1999-12-23,3967300,36900,,38900,,,,118400,945100,,,,,,,53900,,,,110400,,,,,,,,,,,6669000,,,,,,,,,139900,,92600,29900,2839600,,,,,443400,594700,,512100,,,,,,1455800,,,,615500,
1999-12-27,3297700,10000,,46400,,,,37200,501500,,,,,,,86200,,,,11200,,,,,,,,,,,5246100,,,,,,,,,214500,,166300,8700,1045800,,,,,290400,168100,,341800,,,,,,779300,,,,204800,
1999-12-28,3573900,9300,,4900,,,,18000,2063300,,,,,,,77200,,,,94400,,,,,,,,,,,7643600,,,,,,,,,143300,,82700,102400,546400,,,,,283200,480100,,285500,,,,,,1093800,,,,200100,
1999-12-29,3433900,16400,,44000,,,,35200,1257900,,,,,,,84400,,,,60800,,,,,,,,,,,6529300,,,,,,,,,186400,,52600,40300,608600,,,,,2356800,94600,,157400,,,,,,563100,,,,246100,
1999-12-30,3329100,7000,,51900,,,,12800,397000,,,,,,,96600,,,,12800,,,,,,,,,,,5499100,,,,,,,,,163100,,31700,13000,708300,,,,,1707600,69300,,308000,,,,,,372000,,,,308000,
1999-12-31,2476400,2300,,4400,,,,400,272500,,,,,,,42300,,,,1600,,,,,,,,,,,2610400,,,,,,,,,51500,,77300,700,408100,,,,,543600,30500,,123700,,,,,,128300,,,,255300,
2000-01-03,5978800,22500,,6300,,,,0,1689700,,,,,,,136000,,,,20800,,,,,,,,,,,22914900,,,,,,,,,153800,,292500,22300,930900,,,,,774600,89800,,505000,,,,,,1917400,,,,512700,
2000-01-04,7533100,12200,,3200,,,,14000,1217500,,,,,,,96800,,,,49600,,,,,,,,,,,15052600,,,,,,,,,94100,,234200,14400,978500,,,,,492000,96000,,132700,,,,,,1788400,,,,430700,
2000-01-05,7598300,9100,,4700,,,,6000,751200,,,,,,,81200,,,,67200,,,,,,,,,,,15071400,,,,,,,,,82000,,345700,32900,1130000,,,,,426000,149200,,101000,,,,,,715700,,,,376700,
2000-01-06,4760500,14900,,12200,,,,201600,1117500,,,,,,,66100,,,,27200,,,,,,,,,,,11118400,,,,,,,,,42100,,94700,15400,914100,,,,,355800,98800,,135300,,,,,,818200,,,,252500,
2000-01-07,10373300,61700,,8700,,,,30000,2118100,,,,,,,170100,,,,27200,,,,,,,,,,,15953900,,,,,,,,,113900,,162400,26200,1578800,,,,,890400,2698300,,406600,,,,,,1496000,,,,554600,
2000-01-10,5726800,36200,,1800,,,,19600,1913100,,,,,,,49200,,,,54400,,,,,,,,,,,10555300,,,,,,,,,286800,,372900,118300,1921800,,,,,1091400,358400,,653200,,,,,,1404100,,,,720700,
2000-01-11,5023300,26300,,14200,,,,40000,1453200,,,,,,,129300,,,,251200,,,,,,,,,,,14103100,,,,,,,,,198900,,349100,210100,1128400,,,,,1821000,263500,,604400,,,,,,1167700,,,,561800,
2000-01-12,4990400,46300,,25700,,,,103600,685100,,,,,,,133000,,,,99200,,,,,,,,,,,11576800,,,,,,,,,198000,,264100,119700,1418700,,,,,766200,265500,,421200,,,,,,769900,,,,750400,
2000-01-13,5353500,23400,,7500,,,,80800,744100,,,,,,,70900,,,,104000,,,,,,,,,,,10552600,,,,,,,,,102200,,192900,27800,1059500,,,,,838800,199000,,462800,,,,,,1072400,,,,449100,
2000-01-14,5540200,82800,,48100,,,,10000,1215900,,,,,,,83700,,,,89600,,,,,,,,,,,8971200,,,,,,,,,236200,,325800,67000,959300,,,,,714600,114700,,275400,,,,,,911100,,,,403300,
2000-01-18,5299700,50600,,85200,,,,146000,1208500,,,,,,,187000,,,,70400,,,,,,,,,,,8658100,,,,,,,,,351300,,299000,75300,1119800,,,,,895800,95500,,134000,,,,,,478600,,,,270000,
2000-01-19,4761600,16600,,125600,,,,55600,2552700,,,,,,,105300,,,,339200,,,,,,,,,,,12070900,,,,,,,,,314800,,181700,115100,895000,,,,,429600,125300,,319000,,,,,,713400,,,,280400,
2000-01-20,4986300,115200,,62400,,,,121200,1239100,,,,,,,138400,,,,105600,,,,,,,,,,,9460900,,,,,,,,,189800,,135500,78000,5183500,,,,,499200,79100,,275000,,,,,,706900,,,,620900,
2000-01-21,7928900,204000,,27200,,,,467200,783800,,,,,,,142800,,,,120000,,,,,,,,,,,8154300,,,,,,,,,393200,,128200,87100,3075700,,,,,567600,168900,,548000,,,,,,841000,,,,1235000,
2000-01-24,5189100,72000,,23800,,,,390000,1595700,,,,,,,422200,,,,28800,,,,,,,,,,,9853500,,,,,,,,,292200,,104300,211200,1605100,,,,,924000,123200,,274600,,,,,,1189300,,,,903900,
2000-01-25,5446100,54700,,18800,,,,56000,1202700,,,,,,,314300,,,,56000,,,,,,,,,,,11251900,,,,,,,,,98100,,131600,88900,1392700,,,,,468600,200600,,310400,,,,,,744300,,,,652200,
2000-01-26,5357500,44100,,2000,,,,2800,910200,,,,,,,110200,,,,6400,,,,,,,,,,,16000800,,,,,,,,,97500,,64900,41300,1216900,,,,,484200,31400,,388600,,,,,,697000,,,,336000,
2000-01-27,7747200,37500,,6600,,,,1600,728800,,,,,,,113800,,,,12800,,,,,,,,,,,14797000,,,,,,,,,184100,,61900,36200,550200,,,,,405600,119600,,280300,,,,,,923000,,,,426100,
2000-01-28,9823000,33300,,16600,,,,18400,1404300,,,,,,,135900,,,,84800,,,,,,,,,,,10899900,,,,,,,,,211000,,137400,53900,633200,,,,,630600,70900,,156300,,,,,,976400,,,,268600,
2000-01-31,8006300,25500,,19400,,,,43200,746700,,,,,,,343200,,,,67200,,,,,,,,,,,12619500,,,,,,,,,312000,,186500,59100,725800,,,,,712200,144800,,246200,,,,,,1249700,,,,605100,
2000-02-01,5026400,29100,,20300,,,,8400,971600,,,,,,,132500,,,,65600,,,,,,,,,,,9902700,,,,,,,,,168200,,142900,30100,500300,,,,,364800,135400,,384900,,,,,,1128800,,,,363400,
2000-02-02,4642700,38600,,7300,,,,57200,1279800,,,,,,,114300,,,,51200,,,,,,,,,,,9976900,,,,,,,,,129800,,20500,29600,5432300,,,,,525000,67200,,275700,,,,,,1124500,,,,351500,
2000-02-03,3874000,61200,,45400,,,,18400,1249200,,,,,,,528400,,,,395200,,,,,,,,,,,7613000,,,,,,,,,157100,,154100,40000,2825200,,,,,279600,220900,,261900,,,,,,1008000,,,,418900,
2000-02-04,4262100,46700,,161500,,,,211200,1072300,,,,,,,170000,,,,102400,,,,,,,,,,,8069600,,,,,,,,,247700,,61200,70500,1073300,,,,,435600,166400,,307700,,,,,,797700,,,,201200,
2000-02-07,4170200,45200,,282700,,,,103600,1724200,,,,,,,147300,,,,60800,,,,,,,,,,,9190200,,,,,,,,,147700,,122100,156100,1228000,,,,,1417200,142900,,396000,,,,,,890000,,,,289800,
2000-02-08,3939200,331900,,215700,,,,51600,1335600,,,,,,,408700,690000,,,348800,,,,,,,,,,,11108300,,,,,,,,,349900,,198500,100500,1692300,,,,,675000,734700,,297100,,,,,,958600,,,,377200,
2000-02-09,6927300,121200,,201400,,,,152400,1154500,,,,,,,530200,287400,,,288000,,,,,,,,,,,7774100,,,,,,,,,272000,,173300,47400,1088700,,,,,620400,158800,,143000,,,,,,2074100,,,,577000,
2000-02-10,7019500,130700,,153800,,,,33200,996100,,,,,,,220700,283200,,,152000,,,,,,,,,,,8880100,,,,,,,,,226900,,316200,84000,754200,,,,,1051800,148400,,280400,,,,,,1783400,,,,265500,
2000-02-11,9213400,162900,,95700,,,,28400,1113700,,,,,,,357800,193200,,,395200,,,,,,,,,,,8105000,,,,,,,,,303800,,368000,56900,723200,,,,,1097400,264300,,317400,,,,,,1479900,,,,189800,
2000-02-14,8933100,113500,,233200,,,,29200,1066000,,,,,,,163400,246600,,,868800,,,,,,,,,,,8794600,,,,,,,,,110600,,375300,27300,465800,,,,,612000,65500,,132200,,,,,,654300,,,,319400,
2000-02-15,6377100,65700,,228600,,,,171200,1638000,,,,,,,174400,279600,,,780800,,,,,,,,,,,8358400,,,,,,,,,245800,,232200,39900,480200,,,,,484200,55100,,217300,,,,,,779900,,,,308000,
2000-02-16,5137400,73900,,142100,,,,110800,2033600,,,,,,,254700,451200,,,972800,,,,,,,,,,,11654800,,,,,,,,,152200,,206200,56400,1430400,,,,,959400,157200,,220800,,,,,,1337000,,,,823400,
2000-02-17,6936900,76800,,90100,,,,50400,2272600,,,,,,,189400,418200,,,699200,,,,,,,,,,,14842800,,,,,,,,,595100,,270200,87700,1700600,,,,,1417800,80700,,845300,,,,,,2828600,,,,1343700,
2000-02-18,6617100,115600,,59600,,,,35600,2366100,,,,,,,171600,376200,,,548800,,,,,,,,,,,14959700,,,,,,,,,762300,,291400,179400,1751500,,,,,1264200,133500,,690900,,,,,,1923800,,,,1552800,
2000-02-22,9199400,45800,,160000,,,,322000,1382800,,,,,,,394300,360000,,,390400,,,,,,,,,,,8657100,,,,,,,,,421300,,149300,211700,864300,,,,,1413600,69400,,490100,,,,,,1237800,,,,991200,
2000-02-23,7728500,89700,,247800,,,,94800,791300,,,,,,,370900,164400,,,249600,,,,,,,,,,,9098600,,,,,,,,,4523500,,184200,116100,605100,,,,,729000,61900,,426000,,,,,,2520500,,,,660400,
2000-02-24,9066800,81500,,195500,,,,75600,705700,,,,,,,99100,278400,,,326400,,,,,,,,,,,9630100,,,,,,,,,2311400,,128800,120700,803600,,,,,484200,57300,,643900,,,,,,848700,,,,687700,
2000-02-25,7701300,114600,,78700,,,,251200,1120700,,,,,,,285500,533400,,,436800,,,,,,,,,,,8556500,,,,,,,,,2159500,,134800,161500,642600,,,,,587400,87200,,742700,,,,,,1650100,,,,866300,
2000-02-28,8488200,38300,,234400,,,,202800,893300,,,,,,,90200,252600,,,217600,,,,,,,,,,,13264800,,,,,,,,,825100,,285000,133600,1371300,,,,,402600,72600,,396900,,,,,,842000,,,,762900,
2000-02-29,7866200,95700,,314000,,,,182800,742700,,,,,,,237800,1236000,,,216000,,,,,,,,,,,8593500,,,,,,,,,904800,,254000,98200,858200,,,,,445800,139200,,725100,,,,,,845200,,,,540500,
2000-03-01,6955700,96000,,402700,,,,85600,1151100,,,,,,,330600,672000,,,340800,,,,,,,,,,,10212300,,,,,,,,,647100,,334300,105700,644900,,,,,484800,75800,,888600,,,,,,1293900,,,,589300,
2000-03-02,5884600,229800,,363200,,,,243600,520400,,,,,,,722800,252000,,,414400,,,,,,,,,,,12075000,,,,,,,,,466700,,107900,91800,609000,,,,,498000,179200,,560400,,,,,,1663800,,,,794600,
2000-03-03,10216500,96700,,240400,,,,38800,526300,,,,,,,422800,178800,,,760000,,,,,,,,,,,10481000,,,,,,,,,762000,,161200,127400,889000,,,,,543000,430900,,773100,,,,,,1224400,,,,665100,
2000-03-06,8686200,339500,,85200,,,,45200,692600,,,,,,,254700,238800,,,635200,,,,,,,,,,,12645900,,,,,,,,,514400,,140600,119700,1382000,,,,,948000,134100,,1121000,,,,,,751400,,,,698300,
2000-03-07,12923800,238700,,99700,,,,178000,600700,,,,,,,286600,371400,,,342400,,,,,,,,,,,12739800,,,,,,,,,353300,,166900,160100,1154100,,,,,721800,200300,,1233300,,,,,,982700,,,,1110600,
2000-03-08,11994000,144000,,17000,,,,7200,499800,,,,,,,313000,711000,,,228800,,,,,,,,,,,15595000,,,,,,,,,749700,,182800,200400,582100,,,,,684000,106200,,1401800,,,,,,680300,,,,872400,
2000-03-09,12280200,106200,,58600,,,,0,447000,,,,,,,786900,891000,,,187200,,,,,,,,,,,10935000,,,,,,,,,553300,,69600,179100,534600,,,,,424800,226800,,758800,,,,,,1017900,,,,773600,
2000-03-10,8313900,96400,,429200,,,,64400,571800,,,,,,,1166300,305400,,,272000,,,,,,,,,,,16043800,,,,,,,,,562700,,94800,233400,1120000,,,,,1026000,127700,,724100,,,,,,737900,,,,907000,
2000-03-13,8876900,174000,,222600,,,,228400,569600,,,,,,,200000,135600,,,211200,,,,,,,,,,,10081100,,,,,,,,,252900,,143200,146000,1439200,,,,,825600,27800,,387400,,,,,,827600,,,,1182400,
2000-03-14,7141300,115700,,275900,,,,123200,1349500,,,,,,,453600,340800,,,316800,,,,,,,,,,,27589100,,,,,,,,,622300,,237800,487300,3561800,,,,,701400,424500,,1741000,,,,,,6785400,,,,2405200,
2000-03-15,9185600,157600,,274000,,,,27600,727400,,,,,,,875200,496800,,,208000,,,,,,,,,,,33529500,,,,,,,,,376400,,125100,378500,3242500,,,,,557400,237700,,1055500,,,,,,3736800,,,,1353300,
2000-03-16,15120800,171600,,254800,,,,168800,553000,,,,,,,641600,325800,,,123200,,,,,,,,,,,18216200,,,,,,,,,351300,,190000,207300,2823300,,,,,387000,80700,,732700,,,,,,2428700,,,,902500,
2000-03-17,8515400,74800,,163000,,,,41200,590000,,,,,,,589700,280800,,,289600,,,,,,,,,,,12260600,,,,,,,,,212400,,164300,126800,1024900,,,,,255600,40500,,455200,,,,,,1155500,,,,509600,
2000-03-20,6118700,67000,,154400,,,,20800,915600,,,,,,,220700,154200,,,132800,,,,,,,,,,,20278200,,,,,,,,,246000,,418400,163200,1201000,,,,,301800,78100,,694900,,,,,,2317700,,,,936600,
2000-03-21,5143400,116800,,60000,,,,214400,1507300,,,,,,,135000,448800,,,297600,,,,,,,,,,,16598600,,,,,,,,,538200,,151700,244200,3397900,,,,,524400,51700,,382200,,,,,,2558000,,,,1827100,
2000-03-22,5274200,135700,,64400,,,,8000,534000,,,,,,,196800,669000,,,326400,,,,,,,,,,,11226000,,,,,,,,,403500,,164400,61600,1626500,,,,,344400,36800,,544600,,,,,,1544600,,,,834800,
2000-03-23,4828100,70500,,28500,,,,21600,1371200,,,,,,,137200,285000,,,121600,,,,,,,,,,,20064100,,,,,,,,,800100,,75900,94900,1057500,,,,,403800,56700,,387000,,,,,,1405500,,,,567600,
2000-03-24,6695600,113600,,33300,,,,29200,577100,,,,,,,329100,139200,,,62400,,,,,,,,,,,21633800,,,,,,,,,772100,,123500,40300,947900,,,,,283800,64500,,430800,,,,,,1098700,,,,664300,
2000-03-27,5578500,28000,,26000,,,,50000,558400,,,,,,,127900,36000,,,124800,,,,,,,,,,,15924900,,,,,,,,,404100,,93900,46000,936900,,,,,184800,23900,,317600,,,,,,545900,,,,328800,
2000-03-28,7592000,12800,,206100,,,,38800,436700,,,,,,,326700,204000,,,212800,,,,,,,,,,,18037600,,,,,,,,,412800,,107600,52500,685000,,,,,372600,37200,,390300,,,,,,453100,,,,456300,
2000-03-29,7047200,100200,,290900,,,,2000,682600,,,,,,,130400,131400,,,132800,,,,,,,,,,,10524700,,,,,,,,,410500,,135700,101500,2728800,,,,,444000,194100,,566600,,,,,,3002800,,,,985200,
2000-03-30,6303600,48900,,220000,,,,137200,930700,,,,,,,116100,474600,,,155200,,,,,,,,,,,9182700,,,,,,,,,1786400,,203800,98000,2242800,,,,,622800,100000,,446300,,,,,,2356900,,,,967400,
2000-03-31,5662600,46100,,618100,,,,3600,1007300,,,,,,,233100,247200,,,78400,,,,,,,,,,,7864600,,,,,,,,,498800,,111300,114900,1369400,,,,,572400,144800,,789500,,,,,,3377300,,,,923700,
2000-04-03,7647200,55700,,111500,,,,13600,613600,,,,,,,203800,291600,,,76800,,,,,,,,,,,6449800,,,,,,,,,228600,,112500,88600,1039500,,,,,247200,148400,,412200,,,,,,906500,,,,674900,
2000-04-04,12027800,61000,,21500,,,,54400,732500,,,,,,,219500,409800,,,123200,,,,,,,,,,,14755200,,,,,,,,,640800,,197700,166300,1380800,,,,,693600,124300,,472900,,,,,,1613000,,,,1097000,
2000-04-05,6247600,47000,,63900,,,,231200,1123200,,,,,,,152400,741000,,,156800,,,,,,,,,,,10977800,,,,,,,,,1412600,,139200,212200,1765100,,,,,351000,76300,,818600,,,,,,2763500,,,,1848600,
2000-04-06,6228000,76800,,30100,,,,163600,903900,,,,,,,445600,425400,,,160000,,,,,,,,,,,10843500,,,,,,,5544900,,876700,,105300,83900,1145800,,,,,265800,24100,,524400,,,,,,2717400,,,,1062500,
2000-04-07,3322400,21500,,46200,,,,489600,758300,,,,,,,268200,250800,,,96000,,,,,,,,,,,8580600,,,,,,,684100,,368900,,70700,297300,1157900,,,,,468600,42600,,305700,,,,,,1254400,,,,864600,
2000-04-10,4710800,23200,,46400,,,,44800,485500,,,,,,,188200,269400,,,48000,,,,,,,,,,,9390100,,,,,,,441100,,182600,,135200,35200,573100,,,,,519600,42800,,175000,,,,,,773700,,,,537400,
2000-04-11,5705900,52000,,74800,,,,42400,570000,,,,,,,260500,334800,,,86400,,,,,,,,,,,7586200,,,,,,,242700,,523000,,74100,53500,1286200,,,,,336000,128300,,248500,,,,,,1312800,,,,848500,
2000-04-12,5840100,30100,,33100,,,,6400,651000,,,,,,,364700,201600,,,76800,,,,,,,,,,,7345800,,,,,,,234800,,257500,,63800,98800,5011900,,,,,211200,254900,,211900,,,,,,1062500,,,,949900,
2000-04-13,4871700,114000,,14500,,,,19600,758900,,,,,,,139100,166800,,,65600,,,,,,,,,,,8131900,,,,,,,131500,,248400,,57300,154900,994100,,,,,320400,250100,,85200,,,,,,1054600,,,,755500,
2000-04-14,6155600,124500,,33600,,,,86400,576900,,,,,,,227600,537600,,,94400,,,,,,,,,,,12667000,,,,,,,83600,,434800,,86500,175600,1647000,,,,,884400,339600,,205100,,,,,,1109900,,,,844300,
2000-04-17,6261100,97300,,58600,,,,131600,1013500,,,,,463000,,305800,170400,,,195200,,,,,,,,,,,12355900,,,,,,,53300,,279600,,63700,191400,1783000,,,,,563400,187200,,408900,,,,,,1001600,,,,758000,
2000-04-18,4600700,240700,,120400,,,,22000,997900,,,,,554000,,271700,201000,,,99200,,,,,,,,,,,9480500,,,,,,,210700,,443600,,188200,392200,1334000,,,,,391800,220600,,283100,,,,,,732800,,,,799700,
2000-04-19,8176700,59700,,10600,,,,10000,445500,,,,,203100,,149200,231000,,,44800,,,,,,,,,,,9010200,,,,,,,59300,,319200,,65900,44700,1447200,,,,,283200,39600,,356400,,,,,,448400,,,,583300,
2000-04-20,6542000,61500,,24400,,,,6000,651000,,,,,489600,,286300,111600,,,44800,,,,,,,,,,,7848300,,,,,,,24100,,287500,,67300,41700,5086100,,,,,183600,49000,,426000,,,,,,809000,,,,419900,
2000-04-24,7415800,158200,,1000,,,,0,272900,,,,,227200,,253800,170400,,,16000,,,,,,,,,,,11779300,,,,,,,70400,,207200,,83200,118600,1570200,,,,,177600,48900,,219100,,,,,,584900,,,,729000,
2000-04-25,6689100,70700,,24200,,,,6800,560900,,,,,325900,,228100,50400,,,16000,,,,,,,,,,,11171500,,,,,,,51900,,91200,,253600,137500,1868600,,,,,145800,56600,,351800,,,,,,361400,,,,422300,
2000-04-26,4619400,87200,,9400,,,,246000,730700,,,,,304000,,236900,60600,,,28800,,,,,,,,,,,31026200,,,,,,,56200,,176500,,90200,77300,982200,,,,,118200,100900,,145800,,,,,,828300,,,,537700,
