,MRK,NVAX,NVTA,BMRN,CTMX,BPMC,SGEN,ICLR,GILD,VXRT,EVT,ALLO,ALT,EXEL,DTIL,SAN,AGEN,MRNA,BLUE,INO,ZIOP,MTEM,MGNX,GH,EDIT,NSTG,ALNY,IQV,CRL,TXG,AMGN,SWTX,TCRR,IBRX,EXAS,ISEE,ADAP,SGMO,RAPT,REGN,FATE,TECH,QGEN,BIIB,PSNL,BGNE,ARCT,FGEN,LGND,BCRX,GMAB,VRTX,SYRS,ILMN,NTLA,VIR,CRSP,INCY,NTRA,TWST,BNTX,BBH,IDNA
1999-11-22,33.4617146259,102.4,,12.63,,,,4.25,1.16816597617,,,,,,,2.84044653565,,,,48.0,,,,,,,,,,,37.2873069943,,,,,,,,,7.688,,18.9162243352,16.3918167107,22.4166666667,,,,,40.0382409543,24.25,,12.69,,,,,,12.25,,,,,
1999-11-23,33.206703464,97.6,,14.0,,,,3.97,1.12666400273,,,,,,,2.87177499009,,,,48.0,,,,,,,,,,,36.7998406443,,,,,,,,,7.5,,19.0227826066,15.5159181078,22.0516666667,,,,,40.5504572565,23.94,,13.19,,,,,,13.875,,,,13.5059677359,
1999-11-24,33.8697324849,97.6,,14.0,,,,3.9375,1.23640234967,,,,,,,2.90571414906,,,,46.0,,,,,,,,,,,38.2545021332,,,,,,,,,7.625,,19.1804888482,16.0164315951,22.5633333333,,,,,41.6175745527,24.0,,13.065,,,,,,14.94,,,,13.7517659993,
1999-11-26,33.9504860195,97.6,,14.0,,,,3.9375,1.24760533636,,,,,,,2.88743921731,,,,48.0,,,,,,,,,,,38.2080767665,,,,,,,,,7.563,,18.7031077925,16.1115291577,23.1666666667,,,,,43.495700994,23.75,,13.125,,,,,,15.375,,,,13.9328805092,
1999-11-29,34.0014882519,100.0,,13.94,,,,3.875,1.25549834971,,,,,,,2.85611076287,,,,47.008,,,,,,,,,,,37.7206104165,,,,,,,,,7.688,,18.9162243352,17.0174585698,22.3016666667,,,,,46.9531610338,25.13,,13.03,,,,,,14.78,,,,13.8423232542,
1999-11-30,33.4447138817,97.6,,13.38,,,,3.47,1.22214400296,,,,,,,2.8221716039,,,,46.0,,,,,,,,,,,35.2523284221,,,,,,,,,7.625,,20.6978786327,16.7672018262,21.125,,,,,49.0873956262,25.75,,13.28,,,,,,14.5,,,,13.3636634782,
1999-12-01,32.5904264894,97.6,,13.06,,,,3.97,1.18395200287,,,,,,,2.85611076287,,,,45.008,,,,,,,,,,,34.2851332832,,,,,,,,,7.875,,21.7378873613,17.4228744946,20.645,,,,,45.6299355865,25.31,,13.375,,,,,,14.28,,,,13.2342959711,
1999-12-02,32.1595280635,93.8,,14.0,,,,4.2825,1.15212533613,,,,,,,2.77517892224,,,,45.008,,,,,,,,,,,34.6255859721,,,,,,,,,8.0,,21.9765778892,17.5179720572,20.865,,,,,45.6299355865,24.13,,13.155,,,,,,17.44,,,,13.5706514894,
1999-12-03,33.0127922732,102.4,,14.0,,,,4.015,1.16001834948,,,,,,,2.87177499009,,,,45.008,,,,,,,,,,,35.7862201388,,,,,,,,,7.906,,21.9126429264,18.5189990319,21.135,,,,,46.9531610338,24.56,,14.19,,,,,,16.565,,,,13.8035130021,
1999-12-06,32.2832513739,103.8,,13.5,,,,3.75,1.13073781608,,,,,,,2.84044653565,,,,46.0,,,,,,,,,,,34.8190249999,,,,,,,,,8.094,,20.246071562,18.9244149566,18.9166666667,,,,,45.8860437376,22.88,,13.94,,,,,,16.845,,,,13.6612087444,
1999-12-07,31.2252037539,106.2,,13.5,,,,3.875,1.12666400273,,,,,,,2.95270683072,,,,48.0,,,,,,,,,,,34.6720113388,,,,,,,,,8.5,,21.2605063056,19.8653803129,18.9166666667,,,,,47.2092691849,20.5,,13.095,,,,,,16.815,,,,13.6612087444,
1999-12-08,31.2721332854,102.4,,13.5,,,,3.5,1.09483733599,,,,,,,2.97098176248,,,,48.0,,,,,,,,,,,35.0124640276,,,,,,,,,8.5,,21.3116542758,19.8954111221,19.7916666667,,,,,48.02027833,22.25,,13.28,,,,,,16.155,,,,13.6870822458,
1999-12-09,30.3719395442,108.8,,12.75,,,,3.5,1.0423869892,,,,,,,2.95270683072,,,,45.008,,,,,,,,,,,34.0452688888,,,,,,,,,10.0,,20.8854211903,19.4099130394,18.9166666667,,,,,48.5751793241,21.75,,13.065,,,,,,15.22,,,,13.5835882401,
1999-12-10,30.4785975704,107.6,,12.63,,,,3.5,0.992992002409,,,,,,,3.01797444413,,,,45.008,,,,,,,,,,,34.6255859721,,,,,,,,,9.063,,20.8598472052,19.2697692629,19.8133333333,,,,,49.8984047714,21.88,,13.565,,,,,,14.53,,,,13.8293865035,
1999-12-13,29.1176411559,107.6,,13.38,,,,3.25,1.0184533358,,,,,,,3.03624937589,,,,45.008,,,,,,,,,,,36.080247461,,,,,,,,,9.063,,20.3526298334,20.8964380968,21.145,,,,,49.8984047714,22.0,,13.25,,,,,,16.065,,,,14.2821727782,
1999-12-14,29.7319913869,112.4,,13.5,,,,3.375,0.985098989057,,,,,,,2.97098176248,,,,45.008,,,,,,,,,,,35.6392064776,,,,,,,,,9.063,,19.981807049,20.6461813531,19.6983333333,,,,,45.8860437376,24.0,,13.315,,,,,,15.065,,,,14.1398685205,
1999-12-15,30.5852555966,115.0,,13.5,,,,3.6575,1.00572266911,,,,,,,2.9370426035,,,,46.0,,,,,,,,,,,35.4999303776,,,,,,,,,8.875,,19.9263967479,18.8943841474,20.4166666667,,,,,42.5566377734,22.81,,13.5,,,,,,16.0,,,,14.4762240388,
1999-12-16,29.6253333607,117.6,,13.5,,,,3.6875,0.994519682413,,,,,,,3.01797444413,,,,48.0,,,,,,,,,,,34.3857215776,,,,,,,,,8.625,,19.8198384765,18.8643533382,19.75,,,,,41.4895204771,23.13,,13.455,,,,,,15.75,,,,14.6185282965,
1999-12-17,28.3966328987,118.8,,13.0,,,,3.61,0.970840642355,,,,,,,3.13284544374,,,,47.008,,,,,,,,,,,35.2523284221,,,,,,,,,8.594,,20.83427322,18.5189990319,20.3333333333,,,,,42.1724755467,23.13,,13.47,,,,,,14.75,,,,14.9419470642,
1999-12-20,28.4264971461,117.6,,13.0,,,,3.75,0.948434668968,,,,,,,3.06757783032,,,,48.0,,,,,,,,,,,37.821198711,,,,,,,,,8.75,,21.8998559338,17.5179720572,21.0833333333,,,,,43.7518091451,24.5,,13.875,,,,,,17.5,,,,15.342986336,
1999-12-21,28.1833168463,115.0,,12.88,,,,3.5,1.03449397584,,,,,,,2.97098176248,,,,56.0,,,,,,,,,,,38.7883938499,,,,,,,,,8.75,,21.5247708186,17.2677153135,24.0633333333,,,,,43.2395928429,24.0,,13.53,,,,,,17.69,,,,16.4037998938,
1999-12-22,28.6654111248,117.6,,12.63,,,,3.625,1.15696298947,,,,,,,2.98664598969,,,,49.008,,,,,,,,,,,40.9626485221,,,,,,,,,8.938,,21.4182125472,19.0195125192,28.6866666667,,,,,45.0750345924,24.13,,13.94,,,,,,23.595,,,,16.8177759164,
1999-12-23,29.7575893132,115.0,,12.63,,,,4.25,1.18089664286,,,,,,,3.00231021691,,,,49.008,,,,,,,,,,,41.9298436609,,,,,,,,,9.313,,21.8998559338,18.0184855445,31.77,,,,,47.5080620278,25.75,,16.5,,,,,,25.78,,,,17.6327912108,
1999-12-27,30.0775633918,113.8,,12.63,,,,4.25,1.21425098961,,,,,,,3.1015169893,,,,51.008,,,,,,,,,,,41.1560875498,,,,,,,,,10.56,,22.2962527034,19.0195125192,32.6266666667,,,,,47.5080620278,27.63,,17.125,,,,,,31.565,,,,17.8268424714,
1999-12-28,29.7575893132,111.2,,12.63,,,,4.25,1.32398933655,,,,,,,2.95270683072,,,,48.0,,,,,,,,,,,44.6379900498,,,,,,,,,10.28,,23.455606696,19.957975308,32.5,,,,,47.5080620278,29.38,,17.545,,,,,,29.92,,,,18.1890714911,
1999-12-29,29.1176411559,118.8,,11.63,,,,4.3125,1.37822197668,,,,,,,2.97098176248,,,,52.0,,,,,,,,,,,47.8258652276,,,,,,,,,12.25,,22.6457638335,18.8943841474,31.9166666667,,,,,54.4229821074,29.38,,17.25,,,,,,30.815,,,,18.8747192784,
1999-12-30,28.9299230298,115.0,,12.13,,,,4.25,1.38764267003,,,,,,,3.1015169893,,,,51.008,,,,,,,,,,,50.2012964887,,,,,,,,,12.13,,22.9654386476,19.1446408911,31.3233333333,,,,,53.3558648111,29.13,,17.19,,,,,,30.765,,,,19.2757585503,
1999-12-31,28.6654111248,112.4,,11.75,,,,4.25,1.37822197668,,,,,,,3.05191360311,,,,52.0,,,,,,,,,,,46.4717920332,,,,,,,,,12.75,,23.4683936885,18.8943841474,32.75,,,,,54.9778831014,29.5,,17.5,,,,,,30.0,,,,18.5642372615,
2000-01-03,28.8531292509,115.0,,12.75,,,,4.25,1.43372768348,,,,,,,3.03624937589,,,,54.0,,,,,,,,,,,48.7002096331,,,,,,,,,12.75,,24.9346355027,20.5210529813,31.0833333333,,,,,59.2463522863,29.5,,18.75,,,,,,44.815,,,,18.90318013,
2000-01-04,27.8377448414,110.0,,13.56,,,,4.1575,1.36854666999,,,,,,,2.97098176248,,,,50.0,,,,,,,,,,,44.9784427387,,,,,,,,,12.0,,23.3618354171,18.8943841474,28.98,,,,,56.0450003976,27.0,,17.28,,,,,,46.625,,,,17.0765109305,
2000-01-05,29.1176411559,107.6,,12.88,,,,4.11,1.36549130998,,,,,,,2.9370426035,,,,49.008,,,,,,,,,,,46.3789412998,,,,,,,,,11.75,,23.4683936885,19.3948976347,31.0,,,,,56.0450003976,26.38,,16.75,,,,,,44.565,,,,17.3352459446,
2000-01-06,29.1731033296,112.4,,12.75,,,,4.22,1.44976832352,,,,,,,2.9370426035,,,,48.0,,,,,,,,,,,47.299711072,,,,,,,,,11.63,,22.189694432,18.8318199615,32.3733333333,,,,,58.4353431412,28.38,,16.75,,,,,,41.655,,,,17.6457279615,
2000-01-07,31.9718099374,110.0,,13.38,,,,4.22,1.67102731072,,,,,,,3.05191360311,,,,51.008,,,,,,,,,,,52.6154155554,,,,,,,,,13.0,,22.1513334543,20.0205394939,36.1033333333,,,,,58.4353431412,21.63,,18.22,,,,,,52.2,,,,19.2240115475,
2000-01-10,31.0374856278,110.0,,13.69,,,,4.2825,1.88897632458,,,,,,,2.97098176248,,,,53.008,,,,,,,,,,,55.8110282942,,,,,,,,,14.5,,25.1221780603,25.0256743674,39.8333333333,,,,,63.5148214712,24.25,,18.78,,,,,,55.15,,,,20.9316626405,
2000-01-11,31.063083554,107.6,,14.06,,,,4.25,1.71634848416,,,,,,,2.90571414906,,,,66.0,,,,,,,,,,,51.408356022,,,,,,,,,14.09,,26.0556285176,24.2448733272,36.7066666667,,,,,67.228389662,25.25,,19.78,,,,,,54.3,,,,19.7026713236,
2000-01-12,31.758493885,107.6,,14.25,,,,4.0325,1.70107168413,,,,,,,2.84044653565,,,,61.248,,,,,,,,,,,49.179938422,,,,,,,,,14.13,,26.5884198745,23.7443598398,35.2066666667,,,,,65.6490560636,27.38,,19.565,,,,,,51.5,,,,18.6936047686,
2000-01-13,31.8907498375,106.2,,15.25,,,,4.0,1.79502400435,,,,,,,2.85611076287,,,,65.008,,,,,,,,,,,51.6946457831,,,,,,,,,14.19,,26.8143234098,24.0872115786,38.7066666667,,,,,70.4297415507,28.38,,19.565,,,,,,68.65,,,,19.5344935644,
2000-01-14,31.6262379324,103.8,,16.75,,,,3.9525,1.75377664425,,,,,,,2.9370426035,,,,62.0,,,,,,,,,,,52.8552799498,,,,,,,,,14.5,,28.6130270307,25.2609157065,38.5,,,,,70.4297415507,28.5,,22.0,,,,,,65.9,,,,20.4530028644,
2000-01-18,30.2098193444,105.0,,16.44,,,,3.97,1.74257365756,,,,,,,2.69163637708,,,,60.0,,,,,,,,,,,53.4355970331,,,,,,,,,17.0,,28.664175001,26.2769580858,35.6866666667,,,,,69.3626242545,29.13,,21.22,,,,,,65.05,,,,20.9316626405,
2000-01-19,30.5041954967,107.6,,15.5,,,,3.7025,1.60100864388,,,,,,,2.67597214986,,,,51.008,,,,,,,,,,,55.7104399998,,,,,,,,,16.25,,29.4654932017,26.9326307542,40.3333333333,,,,,68.0393988072,29.88,,21.095,,,,,,69.95,,,,21.7078676828,
2000-01-20,31.1185457277,123.8,,15.06,,,,3.875,1.5928610172,,,,,,,2.79084314946,,,,51.008,,,,,,,,,,,55.5634263387,,,,,,,,,15.25,,28.9710628225,27.9036269197,40.8966666667,,,,,69.1065161034,27.88,,22.14,,,,,,72.85,,,,22.57462998,
2000-01-21,30.9052296753,145.0,,15.0,,,,3.75,1.58827797719,,,,,,,2.67597214986,,,,56.0,,,,,,,,,,,57.7918439387,,,,,,,,,14.63,,28.399910488,30.2810659846,49.25,,,,,68.8504079523,26.0,,24.595,,,,,,78.55,,,,23.6483802886,
2000-01-24,29.9709053656,130.0,,14.75,,,,3.875,1.41157632342,,,,,,,2.67597214986,,,,58.0,,,,,,,,,,,53.5826106942,,,,,,,,,14.59,,28.7963072575,32.283119934,45.77,,,,,71.752966998,24.69,,24.095,,,,,,69.05,,,,21.7984249378,
2000-01-25,30.2396835917,132.4,,14.88,,,,4.3125,1.44187531016,,,,,,,2.69163637708,,,,59.008,,,,,,,,,,,53.6831989887,,,,,,,,,14.56,,28.7835202649,31.0318362156,45.2933333333,,,,,66.4173805169,24.75,,22.125,,,,,,64.7,,,,21.9795394476,
2000-01-26,31.063083554,140.0,,14.88,,,,4.3275,1.37414816333,,,,,,,2.73633163874,,,,57.008,,,,,,,,,,,49.6209794054,,,,,,,,,14.06,,27.9438410864,30.5313227282,47.7933333333,,,,,66.7161733598,24.63,,22.125,,,,,,67.95,,,,21.9277924448,
2000-01-27,31.6262379324,138.8,,14.75,,,,4.25,1.2636459764,,,,,,,2.70225854362,,,,56.0,,,,,,,,,,,47.4931500998,,,,,,,,,13.38,,27.4920340158,30.1559376127,43.4166666667,,,,,64.2831459245,23.25,,21.03,,,,,,69.45,,,,21.4103224166,
2000-01-28,32.5861601684,135.0,,15.5,,,,4.25,1.24684149636,,,,,,,2.6210073168,,,,53.008,,,,,,,,,,,46.185502272,,,,,,,,,12.56,,25.8254626514,27.2779850605,42.75,,,,,60.0146767396,22.38,,20.86,,,,,,64.25,,,,20.5047498673,
2000-01-31,33.5460824043,130.0,,14.56,,,,4.25,1.19184501622,,,,,,,2.6210073168,,,,55.008,,,,,,,,,,,49.2805267165,,,,,,,,,12.31,,26.5884198745,24.7453868145,42.0633333333,,,,,59.7585685885,21.06,,20.5,,,,,,54.9,,,,20.8022951335,
2000-02-01,32.7696119734,132.4,,14.88,,,,4.4075,1.17605898952,,,,,,,2.6367333607,,,,56.0,,,,,,,,,,,50.5340116165,,,,,,,,,12.63,,27.3471147667,28.5292687789,44.3133333333,,,,,63.2160286282,22.19,,19.795,,,,,,55.95,,,,21.4620694194,
2000-02-02,32.7994762208,140.0,,14.38,,,,4.5,1.16969365617,,,,,,,2.6367333607,,,,60.0,,,,,,,,,,,49.3269520831,,,,,,,,,13.5,,26.7461261161,28.9046538944,35.3333333333,,,,,65.0941550696,21.5,,21.0,,,,,,61.95,,,,21.3844489152,
2000-02-03,32.5306979947,137.6,,15.0,,,,4.64,1.14576000278,,,,,,,2.75205768264,,,,69.008,,,,,,,,,,,49.5203911109,,,,,,,,,12.88,,27.3343277742,32.3782174966,34.3733333333,,,,,63.5148214712,21.75,,22.22,,,,,,72.5,,,,21.8501719406,
2000-02-04,32.02300579,143.8,,14.88,,,,5.22,1.19031733622,,,,,,,2.68653249972,,,,66.0,,,,,,,,,,,50.0078574609,,,,,,,,,13.13,,26.8015364173,33.4718394664,36.5,,,,,60.8256858847,21.75,,23.75,,,,,,67.5,,,,21.876045442,
2000-02-07,32.1040658899,145.0,,15.5,,,,5.47,1.38280501669,,,,,,,2.80185682166,,,,68.0,,,,,,,,,,,53.5361853276,,,,,,,,,13.06,,27.278917473,34.1600455115,38.27,,,,,70.1736333996,21.81,,24.75,,,,,,70.0,,,,23.1567837618,
2000-02-08,32.1851259898,170.0,,17.0,,,,5.25,1.51011168366,,,,,,,2.88310804848,277.5,,,89.008,,,,,,,,,,,54.5498058331,,,,,,,,,14.63,,28.5576167296,35.0359441144,43.2933333333,,,,,71.4968588469,25.0,,25.78,,,,,,68.5,,,,24.1270400646,
2000-02-09,30.4529996441,171.2,,17.5,,,,5.5325,1.39884565673,,,,,,,2.81758286556,264.0,,,85.008,,,,,,,,,,,51.6946457831,,,,,,,,,13.63,,28.0248253727,32.7836334213,41.0,,,,,69.9175252485,27.88,,24.125,,,,,,79.5,,,,23.363771773,
2000-02-10,29.4376152346,181.2,,17.0,,,,5.1575,1.40953941675,,,,,,,2.73633163874,287.16,,,80.0,,,,,,,,,,,50.4411608831,,,,,,,,,14.56,,29.6786097445,32.283119934,39.0633333333,,,,,80.8448063618,26.75,,24.125,,,,,,95.05,,,,23.3378982716,
2000-02-11,27.8377448414,186.2,,18.38,,,,4.7825,1.42430699012,,,,,,,2.6210073168,268.5,,,86.0,,,,,,,,,,,48.4603452387,,,,,,,,,15.75,,30.075006514,32.7836334213,39.6033333333,,,,,75.2531117296,27.0,,25.47,,,,,,91.3,,,,22.5875667308,
2000-02-14,28.1833168463,181.2,,19.0,,,,4.5,1.52920768371,,,,,,,2.68653249972,274.5,,,122.0,,,,,,,,,,,50.3405725887,,,,,,,,,16.0,,30.663208172,32.0278580554,39.6033333333,,,,,80.5886982107,27.63,,25.815,,,,,,93.45,,,,23.014479504,
2000-02-15,27.9998650412,177.6,,19.44,,,,4.595,1.61679467059,,,,,,,2.75205768264,287.28,,,144.0,,,,,,,,,,,50.3405725887,,,,,,,,,15.0,,31.8609231423,32.0328631903,38.7933333333,,,,,80.0337972167,27.0,,26.405,,,,,,97.7,,,,23.3378982716,
2000-02-16,27.9444028676,171.2,,19.13,,,,4.595,1.62468768394,,,,,,,2.81758286556,310.5,,,150.0,,,,,,,,,,,54.0700770442,,,,,,,,,15.06,,32.2360082576,32.283119934,40.6266666667,,,,,88.3146274354,25.5,,27.0,,,,,,108.5,,,,24.7609408492,
2000-02-17,26.9844806317,177.6,,19.13,,,,4.5,1.89686933794,,,,,,,2.83330890946,279.78,,,163.04,,,,,,,,,,,56.2907570831,,,,,,,,,18.13,,34.2307790978,34.4253176598,43.8733333333,,,,,97.6625749503,26.13,,33.0,,,,,,138.05,,,,26.1322364239,
2000-02-18,26.4511905006,175.0,,19.0,,,,4.595,1.96205035143,,,,,,,2.78613077776,264.78,,,142.0,,,,,,,,,,,55.1765482831,,,,,,,,,21.75,,31.5156743431,38.7897952695,43.9566666667,,,,,100.052917694,27.25,,30.75,,,,,,133.45,,,,25.7441339028,
2000-02-22,27.9444028676,171.2,,20.06,,,,4.5625,1.90730848463,,,,,,,2.9329071875,236.28,,,121.008,,,,,,,,,,,52.2285374998,,,,,,,,,20.88,,30.9828829862,40.3213665408,41.6266666667,,,,,87.5036182903,28.44,,28.53,,,,,,112.55,,,,24.6574468435,
2000-02-23,26.9332847791,180.0,,21.0,,,,4.5625,1.92869600468,,,,,,,2.88310804848,270.0,,,112.0,,,,,,,,,,,55.2771365776,,,,,,,,,36.63,,30.9146856925,43.794930143,46.3133333333,,,,,90.7049701789,27.13,,30.17,,,,,,126.0,,,,26.520338945,
2000-02-24,26.4511905006,177.6,,22.13,,,,4.595,1.86835264453,,,,,,,2.80185682166,289.5,,,100.0,,,,,,,,,,,56.143743422,,,,,,,,,36.75,,33.2461806703,45.4215989769,46.25,,,,,90.1927538767,27.75,,30.19,,,,,,131.0,,,,27.0766192254,
2000-02-25,25.6789863909,182.4,,24.13,,,,4.5325,1.8418728578,,,,,,,2.85165596068,270.0,,,116.0,,,,,,,,,,,56.9174995331,,,,,,,,,45.88,,32.4491248004,46.5477543234,45.8133333333,,,,,85.9242846918,26.75,,30.5,,,,,,140.25,,,,27.7881405141,
2000-02-28,26.2634723745,175.0,,26.25,,,,4.5,1.80622699105,,,,,,,2.76778372654,240.0,,,116.0,,,,,,,,,,,52.9558682442,,,,,,,,,45.13,,35.019310306,45.7969840924,44.5,,,,,86.9914019881,27.5,,31.0,,,,,,136.9,,,,27.1671764803,
2000-02-29,26.2634723745,175.0,,31.25,,,,4.47,1.94779200473,,,,,,,2.75205768264,270.0,,,118.0,,,,,,,,,,,52.7624292165,,,,,,,,,56.5,,36.5622740756,43.6698017711,46.9566666667,,,,,92.8392047714,27.0,,36.315,,,,,,137.8,,,,28.1115592817,
2000-03-01,25.7216496013,187.6,,38.75,,,,4.095,2.03614283161,,,,,,,2.75205768264,283.86,,,143.008,,,,,,,,,,,50.3405725887,,,,,,,,,53.44,,37.6704800979,41.5276040453,48.9366666667,,,,,91.5159793241,26.0,,41.28,,,,,,119.95,,,,29.4957916072,
2000-03-02,25.4001289813,203.8,,33.0,,,,4.25,1.98598400482,,,,,,,2.80185682166,275.28,,,148.0,,,,,,,,,,,50.5340116165,,,,,,,,,50.41,,35.4455433915,42.0431329373,46.3533333333,,,,,92.5830966203,28.0,,37.86,,,,,,111.45,,,,29.3922976015,
2000-03-03,24.6499142013,200.0,,36.0,,,,4.2825,2.0338513116,,,,,,,2.78613077776,274.5,,,191.04,,,,,,,,,,,51.3077677276,,,,,,,,,50.3,,35.6160366257,43.5446733993,50.0,,,,,98.7296922465,32.75,,40.0,,,,,,123.0,,,,31.4104307115,
2000-03-06,24.2212200413,227.6,,36.19,,,,3.9075,2.09750464509,,,,,,,2.72060559484,267.0,,,175.04,,,,,,,,,,,49.9536945331,,,,,,,,,50.63,,37.934744611,48.1744231573,57.1033333333,,,,,108.589856064,32.75,,44.0,,,,,,119.9,,,,31.2810632044,
2000-03-07,23.1237629916,212.4,,36.5,,,,4.25,1.95262965807,,,,,,,2.68653249972,271.5,,,158.0,,,,,,,,,,,47.1991227776,,,,,,,,,46.94,,35.0065233135,48.6123724587,52.8533333333,,,,,97.6625749503,30.63,,42.095,,,,,,112.45,,,,28.9007010747,
2000-03-08,24.3541152309,231.2,,34.0,,,,4.3125,1.88261099123,,,,,,,2.78613077776,300.0,,,144.0,,,,,,,,,,,47.4931500998,,,,,,,,,41.75,,34.5248799268,47.7990380418,50.8733333333,,,,,92.8392047714,33.0,,36.03,,,,,,110.55,,,,28.3702942958,
2000-03-09,26.2060740022,230.0,,31.69,,,,4.3125,1.82379531109,,,,,,,2.78613077776,315.78,,,144.0,,,,,,,,,,,45.6516105554,,,,,,,,,41.06,,34.2307790978,49.6759636193,47.6266666667,,,,,87.5036182903,31.88,,32.5,,,,,,103.0,,,,27.2059867324,
2000-03-10,25.5330241709,227.6,,27.75,,,,4.1575,1.82532299109,,,,,,,2.83330890946,301.5,,,148.0,,,,,,,,,,,46.0849139776,,,,,,,,,40.0,,32.8753578859,55.5569970957,43.1033333333,,,,,78.9666799205,29.88,,33.03,,,,,,101.65,,,,26.7532004577,
